СФСИ(до23)-Сальсетте(до23)Индия,19.10.2023 в 13:30,2.15,3.8,2.8
АКС Сентрал Герман де Фотбал(до19)-Лицей Пантелимон(до19)Кубок Румынии,19.10.2023 в 14:00,3.1,4.9,1.63
Ройял Куинз(жен)-Сасол Ювентус(жен)Жен,19.10.2023 в 14:00,2.05,4,2.8
Калтенг Путра-Сулут ЮнИндонезия․ Лига 2П11,19.10.2023 в 15:00,1.87,3.1,3.8
СК Бенгалуру-Реал Чиккамагалуру ФКИндия,19.10.2023 в 15:00,1.1,9.51,14.99
Перслобар Ломбок Барат-МандаликаИндонезия,19.10.2023 в 16:00,2.48,2.97,2.97
Туран Туркестан-Астана IIКазахстан,19.10.2023 в 16:00,1.08,7.6,18
Экибастуз-Академия ОнтустикКазахстан,19.10.2023 в 16:00,2,3.25,3.25
Яссы Туркестан -АкжайыкКазахстан,19.10.2023 в 16:00,11.2,4.7,1.22
Гарадаг Локбатан-Симург ЗакаталаАзербайджан,19.10.2023 в 16:00,2.27,3.35,2.9
Абдиш-Ата Канта-Мурас ЮнКиргизия,19.10.2023 в 16:30,1.5,4.2,5.6
Роял Рэйнджерс(жен)-Сигнейчер(жен)Жен,19.10.2023 в 17:00,1.89,4.55,2.95
Хад-ХараацайМонголия,19.10.2023 в 17:00,1.24,6.6,7.1
Бенгалуру II-Рутс БенгалуруИндия,19.10.2023 в 17:00,1.61,4.38,4.38
Рубин(мол)-Локомотив М(мол)Россия,19.10.2023 в 17:00,7.8,5.4,1.21
Иксиас(жен)-ЮСТ(жен)Жен,19.10.2023 в 17:30,3.35,4.2,1.84
Вест Армения-АраратАрмения,19.10.2023 в 18:00,3.08,3.61,2.1
Карван Евлах-ФК МОИК БакуАзербайджан,19.10.2023 в 18:30,2.32,3.25,2.88
Мэйчжоу Хакка-Чжецзян ГринтаунКитай,19.10.2023 в 18:35,3.95,3.85,1.81
Эфиопиан Иншуренс-Велайта ДичаЭфиопия,19.10.2023 в 19:00,2.41,2.68,3.1
