Акрон — Шинник,19.10.2023 в 20:30,1.90,3.55,4.15
Арсенал Тула — Родина Москва,19.10.2023 в 23:00,2.50,3.45,3.00
Крузейро — Фламенго Рио-де-Жанейро,20.10.2023 в 05:00,3.45,3.15,2.25
Палмейрас Сан-Паулу — Атлетико Минейро,20.10.2023 в 05:00,1.90,3.35,4.40
Сантос Сан-Паулу — Брагантино,20.10.2023 в 06:00,3.10,3.25,2.40
Флуминенсе Рио-де-Жанейро — Коринтианс Сан-Паулу,20.10.2023 в 07:30,1.62,3.80,5.80
Баия — Форталеза,22.10.2023 в 04:30,2.30,3.30,3.20
Куяба — Гояс,22.10.2023 в 04:30,1.88,3.35,4.50
Оренбург — Факел,21.10.2023 в 16:00,1.80,3.80,4.70
Рубин — ЦСКА,21.10.2023 в 18:00,3.45,3.55,2.15
Локомотив — Динамо,21.10.2023 в 20:30,2.60,3.65,2.65
Балтика — Краснодар,21.10.2023 в 23:00,3.35,3.40,2.25
Урал — Сочи,22.10.2023 в 16:00,2.00,3.45,4.05
Спартак — Пари НН,22.10.2023 в 18:00,1.70,3.75,5.40
Зенит — Крылья Советов,22.10.2023 в 20:30,1.53,4.50,6.20
Ростов — Ахмат,22.10.2023 в 23:00,2.30,3.55,3.15
Рубин — Балтика,27.10.2023 в 23:00,2.20,3.60,3.30
Факел — Спартак,28.10.2023 в 18:00,3.55,3.70,2.05
Крылья Советов — Оренбург,28.10.2023 в 20:30,1.80,4.00,4.30
Ростов — Локомотив,28.10.2023 в 20:30,2.50,3.70,2.70
Зенит — Ахмат,28.10.2023 в 23:00,1.40,4.90,8.00
Пари НН — Сочи,29.10.2023 в 18:00,2.30,3.30,3.30
Динамо — Урал,29.10.2023 в 20:30,1.65,4.00,5.40
ЦСКА — Краснодар,29.10.2023 в 23:30,2.35,3.60,3.00
Ливерпуль — Эвертон,21.10.2023 в 18:30,1.35,5.80,8.00
Манчестер Сити — Брайтон,21.10.2023 в 21:00,1.40,5.50,6.80
Борнмут — Вулверхэмптон,21.10.2023 в 21:00,2.45,3.50,2.95
Ньюкасл — Кристал Пэлас,21.10.2023 в 21:00,1.47,4.60,7.40
Брентфорд — Бернли,21.10.2023 в 21:00,1.80,3.80,4.50
Ноттингем Форест — Лутон Таун,21.10.2023 в 21:00,1.65,3.90,5.60
Челси — Арсенал,21.10.2023 в 23:30,3.15,3.50,2.30
Шеффилд Юнайтед — Манчестер Юнайтед,22.10.2023 в 02:00,7.20,5.00,1.43
Астон Вилла — Вест Хэм,22.10.2023 в 22:30,1.92,3.90,3.85
Тоттенхэм — Фулхэм,24.10.2023 в 02:00,1.50,4.80,6.00
Кристал Пэлас — Тоттенхэм,28.10.2023 в 02:00,3.70,3.75,2.00
Челси — Брентфорд,28.10.2023 в 18:30,1.67,4.05,5.30
Арсенал — Шеффилд Юнайтед,28.10.2023 в 21:00,1.15,8.50,19.00
Борнмут — Бернли,28.10.2023 в 21:00,2.17,3.65,3.30
Вулверхэмптон — Ньюкасл,28.10.2023 в 23:30,4.30,4.05,1.80
Вест Хэм — Эвертон,29.10.2023 в 20:00,2.00,3.90,3.55
Ливерпуль — Ноттингем Форест,29.10.2023 в 21:00,1.28,6.30,10.00
Астон Вилла — Лутон Таун,29.10.2023 в 21:00,1.33,5.60,9.50
Брайтон — Фулхэм,29.10.2023 в 21:00,1.52,4.80,5.80
Манчестер Юнайтед — Манчестер Сити,29.10.2023 в 22:30,4.50,4.10,1.75
Боруссия Дортмунд — Вердер,21.10.2023 в 01:30,1.35,6.10,7.80
Унион Берлин — Штутгарт,21.10.2023 в 20:30,2.50,3.60,2.80
Фрайбург — Бохум,21.10.2023 в 20:30,1.72,4.05,4.80
Вольфсбург — Байер Леверкузен,21.10.2023 в 20:30,4.40,4.10,1.77
Хоффенхайм — Айнтрахт Франкфурт,21.10.2023 в 20:30,2.13,3.65,3.40
Дармштадт 98 — Лейпциг,21.10.2023 в 20:30,6.40,5.00,1.47
Майнц — Бавария,21.10.2023 в 23:30,9.50,6.50,1.30
Кельн — Боруссия Менхенгладбах,22.10.2023 в 20:30,2.35,3.75,2.90
Хайденхайм — Аугсбург,22.10.2023 в 22:30,2.40,3.70,2.90
Бохум — Майнц,28.10.2023 в 01:30,2.35,3.65,3.00
Штутгарт — Хоффенхайм,28.10.2023 в 20:30,1.78,4.20,4.20
Бавария — Дармштадт 98,28.10.2023 в 20:30,1.09,13.00,24.00
Боруссия Менхенгладбах — Хайденхайм,28.10.2023 в 20:30,1.87,4.10,3.90
Вердер — Унион Берлин,28.10.2023 в 20:30,2.70,3.40,2.70
Аугсбург — Вольфсбург,28.10.2023 в 20:30,3.15,3.65,2.25
Лейпциг — Кельн,28.10.2023 в 23:30,1.37,5.40,8.00
Айнтрахт Франкфурт — Боруссия Дортмунд,29.10.2023 в 21:30,3.05,3.70,2.30
Байер Леверкузен — Фрайбург,29.10.2023 в 23:30,1.35,5.40,8.50
Осасуна — Гранада,21.10.2023 в 02:00,1.80,3.80,4.50
Реал Сосьедад — Мальорка,21.10.2023 в 19:00,1.57,3.85,7.20
Хетафе — Бетис,21.10.2023 в 21:15,2.50,3.10,3.15
Севилья — Реал Мадрид,21.10.2023 в 23:30,4.15,3.95,1.85
Сельта — Атлетико Мадрид,22.10.2023 в 02:00,3.60,3.50,2.10
Лас-Пальмас — Райо Вальекано,22.10.2023 в 19:00,2.70,3.15,2.90
Жирона — Альмерия,22.10.2023 в 21:15,1.47,4.80,6.70
Вильярреал — Алавес,22.10.2023 в 23:30,1.72,3.95,5.00
Барселона — Атлетик Бильбао,23.10.2023 в 02:00,1.65,4.10,5.20
Валенсия — Кадис,24.10.2023 в 02:00,1.77,3.55,5.20
Жирона — Сельта,28.10.2023 в 02:00,2.00,3.65,3.85
Альмерия — Лас-Пальмас,28.10.2023 в 19:00,2.30,3.45,3.20
Барселона — Реал Мадрид,28.10.2023 в 21:15,2.30,3.70,3.05
Мальорка — Хетафе,28.10.2023 в 23:30,2.20,3.10,3.85
Кадис — Севилья,29.10.2023 в 02:00,3.00,3.35,2.45
Бетис — Осасуна,29.10.2023 в 20:00,2.05,3.40,3.95
Райо Вальекано — Реал Сосьедад,29.10.2023 в 22:15,3.20,3.15,2.45
Атлетик Бильбао — Валенсия,30.10.2023 в 00:30,1.73,3.75,5.20
Атлетико Мадрид — Алавес,30.10.2023 в 03:00,1.35,5.30,10.00
Гранада — Вильярреал,31.10.2023 в 03:00,3.15,3.75,2.20
Верона — Наполи,21.10.2023 в 20:00,5.50,4.00,1.65
Торино — Интер Милан,21.10.2023 в 23:00,5.00,3.70,1.77
Сассуоло — Лацио,22.10.2023 в 01:45,2.65,3.75,2.55
Рома — Монца,22.10.2023 в 17:30,1.72,3.85,5.10
Болонья — Фрозиноне,22.10.2023 в 20:00,1.75,3.85,4.90
Салернитана — Кальяри,22.10.2023 в 20:00,2.40,3.20,3.20
Аталанта — Дженоа,22.10.2023 в 23:00,1.58,4.05,6.40
Милан — Ювентус,23.10.2023 в 01:45,2.20,3.35,3.55
Удинезе — Лечче,23.10.2023 в 23:30,2.20,3.25,3.60
Фиорентина — Эмполи,24.10.2023 в 01:45,1.45,4.70,7.30
Дженоа — Салернитана,28.10.2023 в 01:45,1.85,3.65,4.50
Сассуоло — Болонья,28.10.2023 в 20:00,2.45,3.60,2.90
Лечче — Торино,28.10.2023 в 23:00,2.95,3.10,2.65
Ювентус — Верона,29.10.2023 в 01:45,1.42,4.80,8.00
Кальяри — Фрозиноне,29.10.2023 в 18:30,2.35,3.50,3.10
Монца — Удинезе,29.10.2023 в 21:00,2.17,3.55,3.40
Интер Милан — Рома,30.10.2023 в 00:00,1.68,3.95,5.30
Наполи — Милан,30.10.2023 в 02:45,2.25,3.45,3.35
Эмполи — Аталанта,31.10.2023 в 00:30,4.70,4.05,1.73
Лацио — Фиорентина,31.10.2023 в 02:45,2.50,3.40,2.95
Болонья — Лацио,4.11.2023 в 02:45,2.65,3.35,2.65
Гавр — Ланс,21.10.2023 в 02:00,4.70,3.65,1.82
ПСЖ — Страсбур,21.10.2023 в 22:00,1.25,6.60,12.00
Ницца — Марсель,22.10.2023 в 02:00,2.45,3.25,3.10
Лорьян — Ренн,22.10.2023 в 18:00,4.05,3.80,1.90
Тулуза — Реймс,22.10.2023 в 20:00,3.10,3.50,2.35
Нант — Монпелье,22.10.2023 в 20:00,2.90,3.60,2.40
Лилль — Брест,22.10.2023 в 20:00,1.82,3.65,4.70
Монако — Мец,22.10.2023 в 22:05,1.35,5.70,8.50
Лион — Клермон,23.10.2023 в 01:45,1.80,4.00,4.30
Клермон — Ницца,28.10.2023 в 02:00,4.20,3.65,1.92
Реймс — Лорьян,28.10.2023 в 22:00,1.65,4.20,5.20
Ланс — Нант,29.10.2023 в 02:00,1.58,4.40,5.80
Брест — ПСЖ,29.10.2023 в 19:00,5.10,4.30,1.65
Мец — Гавр,29.10.2023 в 21:00,2.45,3.35,3.05
Лилль — Монако,29.10.2023 в 21:00,2.40,3.85,2.80
Монпелье — Тулуза,29.10.2023 в 21:00,1.73,4.05,4.70
Ренн — Страсбур,29.10.2023 в 23:05,1.63,4.20,5.40
