Трактор — Металлург Магнитогорск,19.10.2023 в 21:00,3.50,4.10,1.95
Автомобилист — Амур,19.10.2023 в 21:00,1.95,3.70,3.90
ЦСКА — Локомотив Ярославль,19.10.2023 в 23:30,2.35,3.75,2.95
Динамо Минск — Куньлунь Ред Стар,19.10.2023 в 23:30,1.40,5.60,7.10
Лада — Авангард,20.10.2023 в 22:00,2.95,3.85,2.20
Северсталь — Салават Юлаев,20.10.2023 в 23:00,2.70,4.15,2.25
Ак Барс — Сибирь,20.10.2023 в 23:00,1.55,4.80,5.00
ХК Сочи — Барыс,20.10.2023 в 23:30,2.10,4.30,3.10
Ак Барс — ЦСКА,22.10.2023 в 21:00,2.30,3.95,2.75
Оттава Сенаторз — Вашингтон Кэпиталз,19.10.2023 в 06:08,1.90,4.70,3.30
Детройт Ред Уингз — Питтсбург Пингвинз,19.10.2023 в 06:38,2.65,4.50,2.30
Флорида Пантерз — Торонто Мэйпл Лифс,20.10.2023 в 06:08,2.40,4.50,2.40
Нью-Йорк Рейнджерс — Нэшвилл Предаторз,20.10.2023 в 06:08,1.73,4.70,3.85
Баффало Сейбрз — Калгари Флэймз,20.10.2023 в 06:08,2.70,4.40,2.17
Тампа-Бэй Лайтнинг — Ванкувер Кэнакс,20.10.2023 в 06:08,1.85,4.70,3.30
Филадельфия Флайерз — Эдмонтон Ойлерз,20.10.2023 в 06:38,3.70,4.80,1.75
Миннесота Уайлд — Лос-Анджелес Кингз,20.10.2023 в 07:08,2.20,4.40,2.70
Сент-Луис Блюз — Аризона Койотис,20.10.2023 в 07:08,1.85,4.70,3.40
Виннипег Джетс — Вегас Голден Найтс,20.10.2023 в 07:08,2.70,4.40,2.20
Анахайм Дакс — Даллас Старз,20.10.2023 в 09:08,3.75,4.70,1.75
Сиэтл Кракен — Каролина Харрикейнз,20.10.2023 в 09:08,3.10,4.40,2.00
Сан-Хосе Шаркс — Бостон Брюинз,20.10.2023 в 09:38,4.40,4.80,1.62
Колорадо Эвеланш — Чикаго Блэкхокс,20.10.2023 в 09:38,1.52,5.10,5.00
Коламбус Блю Джекетс — Калгари Флэймз,21.10.2023 в 06:08,2.95,4.50,2.05
Нью-Йорк Айлендерс — Нью-Джерси Девилз,21.10.2023 в 06:38,2.25,4.40,2.65
ХК Норильск — СКА-Нева,19.10.2023 в 19:00,3.00,3.75,2.10
ХК Ростов — Металлург Новокузнецк,19.10.2023 в 23:30,3.80,4.30,1.70
Сахалинские Акулы — Академия СКА-Юниор,20.10.2023 в 15:00,3.90,4.80,1.62
Тайфун — МХК Крылья Советов,20.10.2023 в 16:00,4.40,5.00,1.53
Красная Армия — Русские Витязи,20.10.2023 в 20:30,1.45,5.20,5.00
Спутник Альметьевск — Чайка Нижний Новгород,20.10.2023 в 22:00,6.10,5.50,1.35
Реактор — Ирбис,20.10.2023 в 22:00,3.45,4.50,1.75
МХК Спартак Москва — Динамо-Шинник Бобруйск,20.10.2023 в 22:00,1.53,5.00,4.40
СКА-ГУОР Карелия — Академия Михайлова-юниор,20.10.2023 в 23:00,4.30,5.20,1.53
Лаваль Рокет — Рочестер Американс,19.10.2023 в 06:00,2.40,4.30,2.30
Провиденс Брюинз — Бриджпорт Айлендерс,19.10.2023 в 06:05,2.30,4.15,2.45
Кливленд Монстерз — Сиракьюз Кранч,21.10.2023 в 06:00,2.35,4.40,2.35
Хартфорд Вулф Пэк — Уилкс-Барре/Скрэнтон Пингвинз,21.10.2023 в 06:00,2.13,4.40,2.60
Спрингфилд Тандербердс — Лихай Вэлли Фантомс,21.10.2023 в 06:05,2.25,4.30,2.45
Манитоба Мус — Айова Уайлд,21.10.2023 в 07:00,2.17,4.30,2.55
Колорадо Иглз — Гранд-Рапидс Гриффинс,21.10.2023 в 08:05,2.15,4.40,2.55
Абботсфорд Кэнакс — Калгари Рэнглерс,21.10.2023 в 09:00,2.55,4.20,2.20
Сан-Диего Галлз — Онтарио Рейн,21.10.2023 в 09:00,2.25,4.40,2.45
Хендерсон Сильвер Найтс — Сан-Хосе Барракуда,21.10.2023 в 09:00,2.25,4.30,2.45
Торонто Марлис — Шарлотт Чекерс,22.10.2023 в 03:00,2.20,4.20,2.60
Манитоба Мус — Айова Уайлд,22.10.2023 в 06:00,2.20,4.30,2.55
