Краснодар (ж)-Рубин (ж),19.10.2023 в 21:00,1.81,3.60,4.00
Крузейро МГ-Фламенго,20.10.2023 в 05:00,3.25,3.25,2.29
Палмейрас-Атлетико Минейро,20.10.2023 в 05:00,1.96,3.35,4.20
Сантос СП-РБ Брагантино,20.10.2023 в 06:00,3.00,3.30,2.41
Флуминенсе-Коринтианс,20.10.2023 в 07:30,1.66,3.85,5.40
Томбенсе МГ-Вила Нова ГО,20.10.2023 в 05:00,2.85,3.10,2.65
Атлетико Гойаненсе-АБС РН,20.10.2023 в 05:00,1.38,4.70,9.20
Спортиво Лукеньо-Дженерал Кабаллеро,20.10.2023 в 05:30,1.90,3.55,4.10
Химнасия Эсгрима Ла Плата-Аргентинос Хуниорс,20.10.2023 в 02:00,2.85,3.00,2.50
Годой Круз-Сан-Лоренцо,20.10.2023 в 03:00,2.44,2.90,3.10
Колон де Санта-Фе-Ривер Плейт,20.10.2023 в 04:30,3.70,3.50,1.92
Росарио Сентраль-Велес Сарсфилд,20.10.2023 в 06:45,2.47,2.95,2.95
Сармиенто-Расинг,20.10.2023 в 07:00,3.00,3.20,2.30
Мэйчжоу Хакка-Чжэцзян Гринтаун,19.10.2023 в 18:35,4.30,3.90,1.79
Политехника Ясы-Сепси,20.10.2023 в 00:00,2.70,3.30,2.65
Ребордоса-Брага,20.10.2023 в 02:00,40.0,21.0,1.03
Карадаг Локбатан-Загатала,19.10.2023 в 16:00,2.24,3.55,2.85
Карван Евлах-МОИК Баку,19.10.2023 в 18:30,2.31,3.35,2.90
Годой Круз (рез)-Тигре (рез),19.10.2023 в 21:00,4.30,3.45,1.79
Сан Лоренцо де Альмагро (рез)-Сармьенто (рез),19.10.2023 в 21:00,2.60,3.20,2.60
Бельграно (рез)-Ланус (рез),19.10.2023 в 21:00,2.01,3.30,3.55
Эстудиантес (рез)-Бока Хуниорс (рез),19.10.2023 в 21:00,2.95,3.15,2.37
Ньюлс Олд Бойз (рез)-Атлетико Платенсе (рез),19.10.2023 в 21:00,2.15,3.40,3.15
Юнион де Санта-Фе (рез)-Централ Кордоба (рез),19.10.2023 в 21:00,2.05,3.20,3.55
Вест Армения-Арарат Ереван,19.10.2023 в 18:00,3.00,3.55,2.16
Калали-Аль-Будайя,19.10.2023 в 23:00,3.45,3.25,2.08
Малкия-Аль-Иттихад,19.10.2023 в 23:00,2.05,3.25,3.50
Аали-Аль-Иттифак,19.10.2023 в 23:00,1.71,3.65,4.50
Льерс Кемпензонен (до21)-Эйпен (до21),20.10.2023 в 01:00,2.43,4.40,2.27
Ибис-Центро Лимоеренсе ПЕ,20.10.2023 в 01:00,1.37,4.70,7.40
Ганза Росток 2-Грайсфвальдер,20.10.2023 в 00:00,4.60,4.30,1.59
Виктория-Реал Сосьедад Токоа,20.10.2023 в 06:00,2.38,3.35,2.80
Реал Эспанья-Марафон,20.10.2023 в 08:00,2.36,3.25,2.85
Вендсайссель-Хорсенс,20.10.2023 в 00:00,2.38,3.50,2.85
Крэнборн Буллетс-Булавайо Чифс,19.10.2023 в 20:00,3.05,3.00,2.40
Аль-Джалил-Аль-Акаба,19.10.2023 в 21:00,2.50,3.25,2.65
Пайкан-Персеполис,19.10.2023 в 20:20,8.40,3.60,1.47
Санат Нафт-Малаван,19.10.2023 в 22:30,2.47,2.80,3.15
Туран-Астана (мол),19.10.2023 в 16:00,1.11,8.40,18.0
Депортиво Перейра-Атлетико Насьональ Медельин,20.10.2023 в 08:00,2.75,2.89,2.69
Перак-Джохор,19.10.2023 в 20:00,30.0,11.0,1.04
Америка (ж)-Керетаро (ж),20.10.2023 в 04:45,1.07,10.0,20.0
Атлас (ж)-Гвадалахара (ж),20.10.2023 в 08:06,5.40,4.80,1.46
Тигрес Уанл (ж)-Монтеррей (ж),20.10.2023 в 10:06,1.66,4.00,4.40
Пачука (ж)-Некакса (ж),20.10.2023 в 10:10,1.06,11.0,23.0
Венадос-Атлетико Морелиа,20.10.2023 в 10:05,2.23,3.30,3.05
Шарджа-Аль-Иттихад Калба,19.10.2023 в 19:45,2.01,3.60,3.25
Аль-Наср Дубай-Аль-Айн,19.10.2023 в 22:30,2.90,3.65,2.16
Аль-Нахда-Сур,19.10.2023 в 21:15,1.44,4.20,6.60
Сан-Франциско-Эррера,20.10.2023 в 06:00,2.46,3.00,2.95
Спортинг Сан Мигелито-Альянса,20.10.2023 в 08:00,1.90,3.20,4.10
Муниципал Лимено-Онсе Депортиво,20.10.2023 в 07:00,2.32,3.35,2.85
Депортиво ФАС-Фуэртэ Сан-Франциско,20.10.2023 в 08:00,2.08,3.30,3.35
Мтибва Шугар-Каджера Шугар,19.10.2023 в 20:00,2.17,2.90,3.65
Аруа Хилл-Гадафи,19.10.2023 в 20:00,2.75,3.00,2.60
Бусога Юнайтед-Мбарара,19.10.2023 в 20:00,2.18,3.15,3.25
Насьональ Нуэва-Эльвесия-Прогресо,20.10.2023 в 06:30,4.60,3.85,1.65
Хуанико-Атенас Сан-Карлос,20.10.2023 в 06:30,4.40,3.40,1.79
Расинг Монтевидео-Атлетико Феникс Монтевидео,19.10.2023 в 22:00,2.41,3.05,3.00
Депортиво Мальдонадо-Ривер Плейт (УРУ),20.10.2023 в 00:30,2.39,3.15,2.90
Серро-Данубио,20.10.2023 в 03:00,3.15,3.20,2.23
Бостон Ривер-Насьональ Монтевидео,20.10.2023 в 06:15,4.00,3.55,1.81
Этхиопиан Медхин-Волайта Дича,19.10.2023 в 19:00,2.35,2.95,3.15
Сидама Бунна-Фасил Кенема,19.10.2023 в 22:00,3.40,2.90,2.28
Осасуна-Гранада,21.10.2023 в 02:00,1.84,3.80,4.30
Гавр-Ланс,21.10.2023 в 02:00,4.60,3.70,1.81
Чертаново (ж)-Крылья Советов (ж),20.10.2023 в 17:00,1.40,3.88,8.70
Ростов (ж)-Енисей Красноярск (ж),20.10.2023 в 20:00,1.30,5.20,8.00
Локомотив М (ж)-Рязань ВДВ (ж),20.10.2023 в 20:00,1.20,6.00,12.0
Ротерхэм Юнайтед-Ипсвич Таун,21.10.2023 в 02:00,6.00,4.40,1.50
Сампайо Корреа-Виториа БА,21.10.2023 в 05:00,2.65,3.00,2.90
Либертад Асунсьон-Спортиво Амелиано,21.10.2023 в 05:30,1.51,4.60,5.60
Ксамакс-Ньон,21.10.2023 в 00:30,1.70,4.10,4.40
Виль-Тун,21.10.2023 в 01:15,2.85,3.70,2.27
Ньюпорт Каунти-Уолсолл,21.10.2023 в 01:45,2.47,3.20,2.60
Транмир Роверс-Донкастер Роверс,21.10.2023 в 01:45,2.75,3.20,2.35
Тигре-Ньюэллс Олд Бойз,21.10.2023 в 02:45,2.31,2.95,3.05
Уракан-Институто Кордоба,21.10.2023 в 05:00,2.10,2.80,3.80
Тальерес Кордоба-Арсенал де Саранди,21.10.2023 в 05:00,1.44,4.10,6.40
Эльферсберг-Айнтрахт Брауншвейг,20.10.2023 в 23:30,1.78,3.95,4.00
Аль-Охдуд-Аль-Файха,20.10.2023 в 22:00,3.05,3.40,2.35
Аль-Таавун-Аль-Иттихад Джидда,20.10.2023 в 22:00,4.90,4.10,1.66
Аль-Фатех-Абха,21.10.2023 в 01:00,1.59,4.50,5.00
Аль-Хиляль Рияд-Аль-Халидж,21.10.2023 в 01:00,1.11,10.0,22.0
Эспаньол-Леганес,21.10.2023 в 02:00,1.62,3.80,5.60
Парма-Комо,21.10.2023 в 01:30,1.85,3.50,4.30
Утрехт (мол)-ПСВ Эйндховен (мол),21.10.2023 в 01:00,2.32,3.60,2.85
Ден Босх-Венло,21.10.2023 в 01:00,2.60,3.60,2.50
Маастрихт-Камбуур,21.10.2023 в 01:00,3.40,3.85,1.97
Де Граафсхап-Гронинген,21.10.2023 в 01:00,2.80,3.60,2.37
НАК Бреда-Стормвогелс Телстар,21.10.2023 в 01:00,1.49,4.60,6.00
Эммен-Ден Хааг,21.10.2023 в 01:00,2.03,3.70,3.35
Дордрехт-Аякс (мол),21.10.2023 в 01:00,2.07,4.00,3.05
Эйндховен-Хельмонд,21.10.2023 в 01:00,2.19,3.55,3.10
АЗ Алкмаар (мол)-Топ Осс,21.10.2023 в 01:00,1.78,3.90,4.10
Торпедо Жодино-Неман Гродно,20.10.2023 в 23:00,3.30,3.20,2.26
