ХК Норильск-СКА-Нева,19.10.2023 в 19:00,2.95,4.10,2.08
Ростов-Металлург Новокузнецк,19.10.2023 в 23:30,3.85,4.40,1.75
Оттава-Вашингтон,19.10.2023 в 06:00,1.96,4.50,3.25
Детройт-Питтсбург,19.10.2023 в 06:30,2.70,4.30,2.28
Баффало-Калгари,20.10.2023 в 06:00,2.55,4.40,2.38
Флорида-Торонто,20.10.2023 в 06:00,2.55,4.50,2.36
Н-Й Рэйнджерс-Нэшвилл,20.10.2023 в 06:00,1.84,4.50,3.65
Тампа-Бэй-Ванкувер,20.10.2023 в 06:00,2.10,4.50,2.95
Филадельфия-Эдмонтон,20.10.2023 в 06:30,3.65,4.70,1.80
Миннесота-Лос-Анджелес,20.10.2023 в 07:00,2.36,4.30,2.60
Сент-Луис-Аризона,20.10.2023 в 07:00,2.07,4.40,3.05
Виннипег-Вегас,20.10.2023 в 07:00,2.55,4.30,2.40
Сиэтл-Каролина,20.10.2023 в 09:00,3.00,4.40,2.09
Анахайм-Даллас,20.10.2023 в 09:00,4.20,4.70,1.69
Колорадо-Чикаго,20.10.2023 в 09:30,1.47,5.20,5.80
Сан-Хосе-Бостон,20.10.2023 в 09:30,4.50,4.80,1.64
Кэрпэт-Юкурит,19.10.2023 в 22:30,2.16,4.00,2.90
Ассат Пори-ХИФК,19.10.2023 в 22:30,2.80,3.90,2.24
Мальме-Тимро,20.10.2023 в 00:00,2.42,4.00,2.50
Лулео-Ферьестад,20.10.2023 в 00:00,2.34,3.85,2.65
Лександ-Оскарсхамн,20.10.2023 в 00:00,1.89,4.20,3.40
Эребро-ХВ-71,20.10.2023 в 00:00,1.79,4.30,3.70
Линчёпинг-Фрёлунда,20.10.2023 в 00:00,2.70,4.10,2.23
Рогле-Шеллефтео,20.10.2023 в 00:00,2.35,3.95,2.65
Векшё-Модо,20.10.2023 в 00:00,1.78,4.20,3.85
К-Эспоо-ФПС,19.10.2023 в 22:30,1.20,6.60,10.0
Лаваль Рокет-Рочестер Американс,19.10.2023 в 06:00,2.46,4.30,2.39
Провиденс Брюинс-Бриджпорт Саунд Тайгерс,19.10.2023 в 06:05,2.15,4.60,2.65
Есенице-Клагенфурт 2,20.10.2023 в 00:00,1.08,9.60,19.0
Целье-Фасса,20.10.2023 в 00:00,3.15,4.40,1.87
Ред Булл Зальцбург 2-Брегенцервальд,20.10.2023 в 00:15,1.94,4.20,3.05
Стилвингс Линц-Кицбюэль,20.10.2023 в 00:15,3.95,4.60,1.64
Унтерланд Кавальерс-Кортина,20.10.2023 в 01:00,3.25,4.30,1.87
